Ano;"Bloco Econômico";"Código CUCI Subgrupo";"Descrição CUCI Subgrupo";"Quilograma Líquido"
2015;"União Europeia - UE";4211;"Óleo de soja e respectivas frações";433450
2015;"União Europeia - UE";6213;"Fios e cabos de borracha vulcanizada , chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida";383009
2015;"União Europeia - UE";2112;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos (frescos, ou salgados, secos, em conserva ou conservados de outro modo, mas não curtidos, apergaminhados ou preparadas de outro modo), ou não depilados ou divididos";245860
2015;"União Europeia - UE";2450;"Lenha (excluindo resíduos de madeira) e carvão vegetal";158360
2015;"União Europeia - UE";6214;"Tubos, canos e mangueiras, de borracha vulcanizada não endurecida, com ou sem seus acessórios (por exemplo, juntas, cotovelos, bridas).";104368
2015;"União Europeia - UE";6212;"Outras formas (ex. varetas, tubos, perfis) e artigos (por exemplo, discos, arruelas), de borracha não vulcanizada";104228
2015;"União Europeia - UE";2479;"Outras madeiras em bruto ou simplesmente esquadriada";69694
2015;"União Europeia - UE";6354;"Manufaturas de madeira para uso doméstico ou decorativo (exceto móveis)";27584
2015;"União Europeia - UE";2311;"Látex de borracha natural, mesmo pré-vulcanizado";1276
2015;"União Europeia - UE";2312;"Borracha natural (exceto látex)";29
2014;"União Europeia - UE";2222;Soja;5838800600
2014;"União Europeia - UE";0711;"Café não torrado, mesmo descafeinado";1044126514
2014;"União Europeia - UE";6343;"Madeira compensada, madeira folheada e madeiras estratificadas semelhantes";319363809
2014;"União Europeia - UE";2461;"Madeira em estilhas ou em partículas";161790340
2014;"União Europeia - UE";6114;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos, curtidos ou em crosta ou não preparados após curtimento ou após secagem, depilados, mesmo divididos";103306550
2014;"União Europeia - UE";2484;"Madeira de espécies não coníferas especificada na posição 2475 serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";95531553
2014;"União Europeia - UE";2485;"Madeira de espécies não coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de suas bordas, pontas ou faces, mesmo aplainada, polida ou unida pelas extremidades.";63633154
2014;"União Europeia - UE";4222;"Óleo de palma e suas frações";60274972
2014;"União Europeia - UE";0112;"Carne bovina congelada";39618551
2014;"União Europeia - UE";6359;"Outros artigos manufaturados de madeira";37760130
2014;"União Europeia - UE";0111;"Carne bovina fresca ou refrigerada";25490428
2014;"União Europeia - UE";8215;"Outros móveis, de madeira";19997055
2014;"União Europeia - UE";6345;"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou outras substâncias orgânicas";12317848
2014;"União Europeia - UE";0713;"Extratos, essências e concentrados de café e preparações à base destes produtos ou à base de café, sucedâneos do café e respectivos extractos, essências e concentrados";9609652
