Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Boituva,192,0,80,35,540,0,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,1802,0,0,0,214,Wood
Bom Despacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,236,0,0,0,25,0,0,0,0,Wood
Bom Jesus do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46308,0,0,0,0,0,0,0,Wood
Bom Jesus dos Perdões,0,0,0,0,13,119,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,225226,20880,0,0,Wood
Borba,354643,369330,401540,182960,153946,84643,110714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Borborema,0,0,0,0,0,0,0,0,0,0,0,31000,13600,28,0,0,0,0,0,0,0,0,0,0,0,Wood
Botucatu,82755290,80621561,76390055,175943439,142851762,154905297,117569348,105476258,86410530,74423814,59776181,35489719,818509,2208851,896194,599052,915524,1137982,1772796,483382,377524,710897,1245385,96638,17307385,Wood
Bragança Paulista,0,0,14056,0,2,12800,56631,6,116,0,0,0,0,0,0,0,30,51998,0,90,112,0,0,0,0,Wood
Brasil Novo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112741,74516,0,0,0,0,Wood
Brasilândia de Minas,0,0,0,0,0,0,0,0,0,0,0,0,1872310,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Brasiléia,0,27119,0,0,121260,1388130,1179413,996927,288640,43582,46274,1165,3496,3749,807,1607,2577,0,0,30000,0,0,0,0,0,Wood
Brasnorte,5089336,98680,717922,313185,748200,707620,1965365,573570,0,0,0,0,0,24100,739048,538048,1815878,1740700,2613415,702300,3088516,2522556,4327848,4652795,378895,Wood
Brasília,235,4,0,338120,292593,263905,68397,158084,172762,24649,96265,95,16797,0,74350,53597,65711,67989,37614,11193,3240,15947,0,22,0,Wood
Breu Branco,0,0,0,0,0,0,0,0,0,0,0,0,0,240746,967053,3371668,2607102,3834936,2413302,1154421,178523,262814,20000,0,906826,Wood
Breves,0,0,1102295,1336231,832881,2941940,2241579,3102769,2928141,5147716,7929858,14743733,18587311,61945418,107010563,129439775,163609890,156888568,122174304,111418805,100574430,124896839,106902150,92310278,101980022,Wood
Brumadinho,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Bujari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35494,1716820,3278491,2296500,0,0,0,0,0,Wood
Bujaru,1031043,187784,153516,0,0,100009,21664,0,0,0,0,0,0,133006,97080,0,0,0,110565,0,0,0,0,0,0,Wood
Buri,0,0,52000,1980980,755504,0,0,0,0,0,0,47966,0,0,0,0,0,0,0,0,20043,2651127,1349410,0,0,Wood
Buritis,1277851,878494,585549,596990,974435,935418,844862,237960,0,0,162200,230240,582999,604601,2388550,1416050,2537470,2161949,1684103,1774219,174448,27000,0,0,0,Wood
Buritizeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617985,31062,Wood
